article_title,url_link,country,article_quality,revision_id,geography,population,region
Mohammad Hashem Taufiqui,https://en.wikipedia.org/wiki/Mohammad_Hashem_Taufiqui,Afghanistan,Start,1021308429,Afghanistan,41.1,SOUTH ASIA
Nur ul-Haq Ulumi,https://en.wikipedia.org/wiki/Nur_ul-Haq_Ulumi,Afghanistan,GA,1107429109,Afghanistan,41.1,SOUTH ASIA
Pacha Gul Wafadar,https://en.wikipedia.org/wiki/Pacha_Gul_Wafadar,Afghanistan,Stub,1020846299,Afghanistan,41.1,SOUTH ASIA
Wahidullah Waissi,https://en.wikipedia.org/wiki/Wahidullah_Waissi,Afghanistan,C,1111508295,Afghanistan,41.1,SOUTH ASIA
Gul Ahmmad Yama,https://en.wikipedia.org/wiki/Gul_Ahmmad_Yama,Afghanistan,Start,1060707715,Afghanistan,41.1,SOUTH ASIA
Al-Haj Suliman Yari,https://en.wikipedia.org/wiki/Al-Haj_Suliman_Yari,Afghanistan,Stub,1092426408,Afghanistan,41.1,SOUTH ASIA
Abdul Salam Zaeef,https://en.wikipedia.org/wiki/Abdul_Salam_Zaeef,Afghanistan,GA,1106388504,Afghanistan,41.1,SOUTH ASIA
Abdul Zahir (Konar Education Minister),https://en.wikipedia.org/wiki/Abdul_Zahir_(Konar_Education_Minister),Afghanistan,Stub,1097261199,Afghanistan,41.1,SOUTH ASIA
Mohammed Zaman,https://en.wikipedia.org/wiki/Mohammed_Zaman,Afghanistan,Start,1108389318,Afghanistan,41.1,SOUTH ASIA
Ziauddin (Afghan militia leader),https://en.wikipedia.org/wiki/Ziauddin_(Afghan_militia_leader),Afghanistan,Start,1095799892,Afghanistan,41.1,SOUTH ASIA
Qari Ziauddin,https://en.wikipedia.org/wiki/Qari_Ziauddin,Afghanistan,Start,1033608758,Afghanistan,41.1,SOUTH ASIA
Abdul Ghafor Zori,https://en.wikipedia.org/wiki/Abdul_Ghafor_Zori,Afghanistan,Stub,994023417,Afghanistan,41.1,SOUTH ASIA
Ali Pasha of Gusinje,https://en.wikipedia.org/wiki/Ali_Pasha_of_Gusinje,Albania,GA,1114426634,Albania,2.8,SOUTHERN EUROPE
Ylli Asllani,https://en.wikipedia.org/wiki/Ylli_Asllani,Albania,Start,949182924,Albania,2.8,SOUTHERN EUROPE
Azis Tahir Ajdonati,https://en.wikipedia.org/wiki/Azis_Tahir_Ajdonati,Albania,Stub,994501003,Albania,2.8,SOUTHERN EUROPE
Bislim Bajgora,https://en.wikipedia.org/wiki/Bislim_Bajgora,Albania,Start,1091800566,Albania,2.8,SOUTHERN EUROPE
Kastriot Berissa,https://en.wikipedia.org/wiki/Kastriot_Berissa,Albania,Start,1094050369,Albania,2.8,SOUTHERN EUROPE
